name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,3873.078449,25.672105,3847.406344,25.672105,0
root:jackknife:file_io:genotype:transform,454207,1145.950030,1145.950030,0.000000,0.002523,0
root:substract,1,508.764862,508.764862,0.000000,508.764862,0
root:jackknife:bins:compute_gxe:UXXz,400,712.012497,417.567260,294.445237,1.043918,0
root:trace_estimation,101,386.835175,386.834006,0.001169,3.830040,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,225.371418,225.371418,0.000000,0.563429,0
root:jackknife:file_io:genotype:compute_maf,454207,224.542383,224.542383,0.000000,0.000494,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,220.926070,220.926070,0.000000,0.552315,0
root:jackknife:bins:compute_gxe:XXUz,400,396.737416,100.526037,296.211379,0.251315,0
root:jackknife:bins:compute:UXXz,100,95.666457,95.666457,0.000000,0.956665,0
root:jackknife:file_io:genotype,100,1453.361955,82.869542,1370.492413,0.828695,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,56.637626,56.637626,0.000000,0.566376,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,54.835990,54.835990,0.000000,0.548360,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,51.786435,51.786435,0.000000,0.129466,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,50.151288,50.151288,0.000000,0.125378,0
root:jackknife:bins:matrix_setup:matmult_setup,100,34.346918,34.346918,0.000000,0.343469,0
root:jackknife:bins:matrix_setup,100,61.324741,26.977823,34.346918,0.269778,0
root:jackknife:bins:compute:XXUz,100,101.042554,25.374626,75.667928,0.253746,0
root:jackknife:bins:matrix_cleanup,100,21.936279,21.936279,0.000000,0.219363,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,294.445237,21.732732,272.712505,0.054332,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,20.746147,20.746147,0.000000,0.051865,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,296.211379,20.688673,275.522706,0.051722,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,13.211912,13.211912,0.000000,0.132119,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,12.504849,12.504849,0.000000,0.125048,0
root:jackknife:matrix_setup,100,7.666635,7.666635,0.000000,0.076666,0
root:jackknife:bins:compute:XXUz:XXz,100,75.667928,5.818390,69.849538,0.058184,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,5.244652,5.244652,0.000000,0.052447,0
root:jackknife:bins:compute:XXz:XXz,100,71.961104,4.620266,67.340838,0.046203,0
root:file_io:covariate,1,0.804176,0.804176,0.000000,0.804176,0
root:jackknife:bins:compute_gxe:yXXy,400,21.554714,0.739291,20.815423,0.001848,0
root:file_io,1,1.895687,0.520850,1.374838,0.520850,0
root:jackknife:bins:compute:XXz,100,72.469167,0.508063,71.961104,0.005081,0
root:initialize,1,0.808400,0.481817,0.326583,0.481817,0
root:initialize:covariate_regression,1,0.326583,0.326583,0.000000,0.326583,0
root:file_io:environment,1,0.322570,0.322570,0.000000,0.322570,0
root:file_io:phenotype,1,0.184957,0.184957,0.000000,0.184957,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,20.815423,0.069276,20.746147,0.000173,0
root:file_io:annotation,1,0.063134,0.063134,0.000000,0.063134,0
root:jackknife:bins:compute:yXXy:yXXy,100,5.303212,0.058560,5.244652,0.000586,0
root:jackknife:bins:compute_gxe,100,1130.317397,0.012770,1130.304627,0.000128,0
root:jackknife,100,2949.102219,0.005665,2949.096554,0.000057,0
root:jackknife:bins:compute,200,274.485696,0.003800,274.481895,0.000019,0
root:jackknife:bins,100,1488.067635,0.003522,1488.064112,0.000035,0
root:trace_estimation:linear_solve,101,0.001169,0.001169,0.000000,0.000012,0
root:jackknife:bins:compute:yXXy,100,5.303718,0.000506,5.303212,0.000005,0
root:jackknife:file_io,100,1453.362284,0.000328,1453.361955,0.000003,0
