name,calls,total_seconds,self_seconds,children_seconds,avg_self_seconds,total_bytes
root,1,7088.259951,26.867005,7061.392946,26.867005,0
root:jackknife:file_io:genotype:transform,454207,1135.874697,1135.874697,0.000000,0.002501,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xt_v,400,1018.146493,1018.146493,0.000000,2.545366,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xt_v,400,1014.902516,1014.902516,0.000000,2.537256,0
root:substract,1,506.151972,506.151972,0.000000,506.151972,0
root:trace_estimation,101,391.027928,391.026668,0.001260,3.871551,0
root:jackknife:bins:compute_gxe:UXXz,400,1694.409547,387.256575,1307.152971,0.968141,0
root:jackknife:bins:matrix_setup:matmult_setup,100,351.200693,351.200693,0.000000,3.512007,0
root:jackknife:bins:matrix_cleanup,100,280.266211,280.266211,0.000000,2.802662,0
root:jackknife:bins:compute_gxe:UXXz:XXz:Xv,400,272.711241,272.711241,0.000000,0.681778,0
root:jackknife:bins:compute_gxe:XXUz:XXz:Xv,400,268.008122,268.008122,0.000000,0.670020,0
root:jackknife:bins:compute:XXz:XXz:Xt_v,100,262.354135,262.354135,0.000000,2.623541,0
root:jackknife:bins:compute:XXUz:XXz:Xt_v,100,253.474443,253.474443,0.000000,2.534744,0
root:jackknife:file_io:genotype:compute_maf,454207,223.152668,223.152668,0.000000,0.000491,0
root:jackknife:bins:compute_gxe:yXXy:yXXy:Xv,400,123.927890,123.927890,0.000000,0.309820,0
root:jackknife:bins:compute_gxe:XXUz,400,1402.132785,102.862898,1299.269886,0.257157,0
root:jackknife:file_io:genotype,100,1461.269864,102.242499,1359.027365,1.022425,0
root:jackknife:bins:compute:UXXz,100,90.852613,90.852613,0.000000,0.908526,0
root:jackknife:bins:compute:XXUz:XXz:Xv,100,70.245246,70.245246,0.000000,0.702452,0
root:jackknife:bins:compute:XXz:XXz:Xv,100,69.373031,69.373031,0.000000,0.693730,0
root:jackknife:bins:compute:yXXy:yXXy:Xv,100,30.872986,30.872986,0.000000,0.308730,0
root:jackknife:bins:matrix_setup,100,378.706799,27.506105,351.200693,0.275061,0
root:jackknife:bins:compute:XXUz,100,350.871030,22.906536,327.964493,0.229065,0
root:jackknife:bins:compute_gxe:XXUz:XXz,400,1299.269886,16.359249,1282.910637,0.040898,0
root:jackknife:bins:compute_gxe:UXXz:XXz,400,1307.152971,16.295237,1290.857734,0.040738,0
root:jackknife:matrix_setup,100,10.859492,10.859492,0.000000,0.108595,0
root:jackknife:bins:compute:XXz:XXz,100,336.021174,4.294007,331.727166,0.042940,0
root:jackknife:bins:compute:XXUz:XXz,100,327.964493,4.244804,323.719689,0.042448,0
root:file_io:covariate,1,0.801489,0.801489,0.000000,0.801489,0
root:jackknife:bins:compute_gxe:yXXy,400,124.679702,0.686064,123.993638,0.001715,0
root:file_io,1,1.909974,0.527690,1.382285,0.527690,0
root:jackknife:bins:compute:XXz,100,336.511095,0.489921,336.021174,0.004899,0
root:initialize,1,0.792974,0.481674,0.311300,0.481674,0
root:file_io:environment,1,0.330491,0.330491,0.000000,0.330491,0
root:initialize:covariate_regression,1,0.311300,0.311300,0.000000,0.311300,0
root:file_io:phenotype,1,0.182004,0.182004,0.000000,0.182004,0
root:file_io:annotation,1,0.068301,0.068301,0.000000,0.068301,0
root:jackknife:bins:compute_gxe:yXXy:yXXy,400,123.993638,0.065748,123.927890,0.000164,0
root:jackknife:bins:compute:yXXy:yXXy,100,30.927161,0.054176,30.872986,0.000542,0
root:jackknife:bins:compute_gxe,100,3221.233392,0.011359,3221.222033,0.000114,0
root:jackknife,100,6161.510099,0.004836,6161.505263,0.000048,0
root:jackknife:bins,100,4689.375585,0.003500,4689.372085,0.000035,0
root:jackknife:bins:compute,200,809.165683,0.003398,809.162285,0.000017,0
root:trace_estimation:linear_solve,101,0.001260,0.001260,0.000000,0.000012,0
root:jackknife:bins:compute:yXXy,100,30.927547,0.000386,30.927161,0.000004,0
root:jackknife:file_io,100,1461.270186,0.000321,1461.269864,0.000003,0
